nquest,ar,af,w,bollette,cn,cd,c,ncomp,acom5,pesofit,y,cly,nfigli,figli_etamedia,nfigli_maschi,singleparent,singlemom,madre_lavora,padre_lavora,padre_eta,madre_eta,macroarea,madre_laurea,padre_laurea,padre_servizi,padre_industria,madre_servizi,madre_industria
5416,0,1603.3594,1603.3594,6000,28200,0,28200,5,4,1.0888724,43005.875,8,3,32.333332,1,1,1,1,,,58,nord,0,,,,1,0
20297,80000,5000,85000,4000,28810,0,28810,2,5,2.0405276,32678.326,7,0,,0,0,,1,0,56,37,nord,0,0,,,1,0
22099,485000,8139.2813,493139.28,1000,16200,0,16200,2,3,1.0480077,18229.832,4,0,,0,0,,0,1,58,54,sud,0,0,1,0,,
22624,3500,0,1500,,22600,0,22600,4,4,.28655201,19300,4,2,20,0,0,,0,1,59,55,sud,0,0,0,1,,
23797,5000,8500,-37806.387,,35800,0,35800,2,5,.86384475,27831.154,6,0,,0,0,,0,1,61,58,sud,0,0,1,0,,
24194,124000,100000,224000,3500,25650,1600,27250,4,3,.54255408,68560.492,10,2,29,1,0,,1,0,64,56,nord,0,0,,,1,0
24764,251000,3000,254000,2230,25200,0,25200,5,4,.34437683,28010.996,6,3,15.666667,1,0,,0,1,53,50,sud,0,0,0,1,,
24853,285000,41015.504,326015.5,,26000,0,26000,2,3,.25520056,54344.934,9,0,,0,0,,1,0,59,54,centro,0,0,,,1,0
27157,201500,5694.7412,207194.73,1000,12600,0,12600,4,4,.47180361,10202.547,1,2,23,1,0,,1,1,56,53,sud,0,0,1,0,0,1
27238,102000,10000,112000,3000,27600,0,27600,2,1,3.36011,31636.652,7,0,,0,0,,1,0,64,55,centro,0,0,,,1,0
28802,200000,2941.196,199941.2,4500,32400,0,32400,2,5,.93856466,54410.781,9,0,,0,0,,1,1,60,56,nord,0,0,1,0,1,0
29680,236000,1500,237500,1000,16800,0,16800,4,4,.42938671,39605.496,8,2,24,2,0,,1,1,52,46,sud,0,0,1,0,1,0
29737,353000,38000,391000,,26100,500,26600,2,5,2.0750377,66889.281,10,0,,0,0,,1,1,65,63,sud,1,1,1,0,1,0
29742,404000,0,392000,5000,20900,19000,39900,4,5,3.028877,39630,8,2,35.5,1,0,,1,1,64,62,sud,0,0,1,0,1,0
29823,200000,0,197200,700,37200,1000,38200,6,4,.46100456,43940,9,4,19,2,0,,0,1,51,56,sud,1,1,1,0,,
31093,405000,14845.502,419845.5,7000,13200,0,13200,1,3,.36853236,22251.279,5,0,,0,1,0,,1,62,,nord,,0,1,0,,
31695,152000,3000,146200,,39400,14000,53400,3,3,.34943655,48710.996,9,1,24,1,0,,0,1,52,47,nord,0,0,0,1,,
31724,557500,150200,707700,3500,42625,0,42625,5,2,2.2405725,90575.523,10,2,22.5,0,0,,1,1,58,54,nord,0,0,0,1,1,0
31860,157000,3058.7119,146058.72,2800,26400,500,26900,3,4,.47494945,42927.02,8,1,27,0,0,,1,1,58,55,sud,0,0,1,0,1,0
32320,401000,6728.1499,407728.16,5000,46800,0,46800,3,4,.64771062,81824.664,10,1,22,1,0,,1,1,58,54,nord,1,0,1,0,1,0
32729,825000,52000,744000,2500,27600,1800,29400,2,3,.42122641,63461.281,10,0,,0,0,,0,1,62,58,nord,0,0,1,0,,
32734,0,2000,-20100,,29000,18000,47000,1,3,.5340609,23807.33,5,0,,0,1,0,,1,51,,nord,,0,0,1,,
32765,337300,20000,357300,3500,41400,2000,43400,2,4,.30413762,58473.305,10,0,,0,0,,1,1,62,60,nord,1,1,1,0,1,0
32861,155000,55000,210000,,36400,1600,38000,3,3,.88542199,56207.363,10,1,27,0,0,,0,0,70,65,centro,0,0,,,,
32887,520500,1500,510000,2000,37800,0,37800,3,3,.54775578,48005.496,9,1,26,1,0,,1,1,54,51,nord,0,0,1,0,1,0
33038,1500,4470.5547,5970.5547,,28300,0,28300,6,4,.28570679,50316.387,9,2,27,1,0,,0,1,59,61,sud,0,0,1,0,,
33335,732000,165896.95,873896.94,1000,42000,300,42300,4,1,.55482948,63608.059,10,2,30.5,2,0,,1,1,56,57,centro,0,0,1,0,0,1
33336,104000,0,104000,1100,22900,0,22900,2,1,.47538096,21100,4,0,,0,1,0,,1,46,,centro,,0,0,1,,
33451,330000,13000,343000,,29000,0,29000,3,5,.9947018,23447.648,5,2,28,1,1,1,1,,,61,sud,0,,,,1,0
33877,280000,5619.4819,285619.47,,27000,5000,32000,2,1,1.4149592,49620.598,9,0,,0,0,,1,1,58,53,nord,0,0,1,0,1,0
34900,152000,9159.4844,161159.48,,21600,1000,22600,4,4,.4940795,28035.803,6,2,18,1,0,,1,1,53,49,nord,0,0,0,1,1,0
35022,167000,598.19122,167598.19,3000,22800,0,22800,3,4,.52213663,26202.193,6,1,23,1,0,,0,1,50,50,sud,0,0,1,0,,
35032,161500,36512.367,198012.36,4000,16200,0,16200,4,4,.73576003,77733.828,10,2,27,2,0,,1,1,58,56,nord,0,0,1,0,1,0
35372,165000,41000,206000,,45000,3000,48000,3,2,4.1733856,45600.277,9,1,40,1,0,,1,0,67,61,sud,0,0,,,1,0
35507,151000,70000,214000,,34500,0,34500,3,4,.27905506,46626.539,9,0,,0,1,1,1,,,53,sud,1,,,,1,0
35508,250000,2000,13600,,9300,0,9300,6,4,.5204069,7307.3306,1,5,16.6,5,1,1,1,,,51,sud,0,,,,0,1
36130,133000,6200,139200,,21200,0,21200,2,2,1.2277745,40922.727,8,0,,0,0,,1,1,53,51,nord,0,0,0,1,0,1
36164,90500,14799.558,105299.55,,14200,1000,15200,2,2,2.202332,24854.244,5,0,,0,0,,1,1,57,53,nord,0,0,0,1,1,0
36186,100100,12000,112100,,12350,0,12350,3,1,3.9742694,17783.982,3,2,23,0,1,1,1,,,53,sud,0,,,,0,1
36250,170300,3500,142800,,24500,0,24500,3,4,.39763495,38812.828,8,2,28,2,1,1,1,,,55,sud,0,,,,1,0
36333,203000,700,153700,2460,16800,0,16800,2,4,.47471744,17502.566,3,1,29,0,1,1,0,,,58,centro,0,,,,,
36409,143000,6000,149000,3200,12000,15000,27000,2,3,.3052268,65721.992,10,0,,0,0,,0,1,62,60,nord,0,0,1,0,,
36443,161000,29500,190500,,20000,0,20000,2,2,1.1947026,37700.27,8,0,,0,0,,1,0,63,57,nord,0,0,,,1,0
36450,310000,65000,375000,600,29800,5600,35400,3,2,1.5697576,66432.531,10,1,30,1,0,,1,0,64,60,nord,0,0,,,1,0
36522,645000,92000,737000,,40500,0,40500,4,4,.4200401,66147.195,10,2,25,1,0,,1,1,57,55,sud,0,1,1,0,1,0
37001,305000,7000,312000,600,26400,0,26400,4,4,1.0651131,48175.656,9,1,37,1,0,,0,0,66,62,centro,0,0,,,,
37299,200000,0,200000,,16100,0,16100,3,4,.29899934,21200,4,1,21,0,0,,0,1,59,55,sud,0,0,0,1,,
37459,100000,3687.8438,103687.84,1600,26400,4000,30400,3,5,4.0394416,33113.516,7,1,24,0,0,,0,1,54,52,centro,0,0,1,0,,
37665,223000,11800,54800,2400,26400,0,26400,3,2,1.5567822,43007.926,8,0,,0,0,,1,1,59,52,nord,0,0,0,1,1,0
38095,110000,1535.1196,102556.42,,25900,800,26700,3,3,.43341842,39405.625,8,1,31,1,0,,0,1,51,55,nord,0,0,0,1,,
38135,223000,300,193110,,9850,0,9850,1,5,2.4631009,6313.5459,1,0,,0,1,0,,1,47,,nord,,0,1,0,,
38316,345000,52407.055,397407.06,,34900,3500,38400,4,3,.30969924,66197.094,10,2,23.5,1,0,,1,1,59,58,nord,1,1,1,0,1,0
38554,3000,6902.9517,9902.9521,,28252.377,0,28252.377,4,3,.72090203,48077.68,9,2,17,2,0,,1,1,49,42,centro,0,0,0,1,1,0
39056,397500,235000,628500,5000,27240,600,27840,2,3,.34350652,41081.348,8,0,,0,0,,1,1,60,57,nord,0,0,1,0,1,0
39095,5000,116968.65,121968.65,4000,15200,0,15200,1,5,1.6784148,29245.803,6,0,,0,1,1,1,,,58,nord,0,,,,1,0
39227,700000,24573.475,661573.5,,32900,3000,35900,2,2,.91631311,18653.416,4,0,,0,1,0,,1,51,,nord,,0,0,1,,
39317,100,0,100,2000,12000,0,12000,1,3,1.1604694,17800,3,0,,0,1,0,,1,24,,nord,,0,0,1,,
39318,481000,4875.5962,485875.59,1500,19800,9000,28800,3,3,.68539864,39417.871,8,1,18,1,0,,1,1,54,50,nord,0,0,0,1,1,0
51444,100,900,1000,250,20976,0,20976,4,5,1.8273494,37837.297,8,2,31.5,0,0,,0,0,64,65,nord,0,0,,,,
52718,69500,9295.3633,78795.367,250,9600,0,9600,2,2,2.8302619,14204.07,2,1,35,0,1,1,0,,,60,sud,0,,,,,
53008,300000,40371.559,339370.09,5000,21000,25000,46000,2,5,.45424688,61144.832,10,0,,0,0,,1,1,58,53,nord,0,0,0,1,1,0
53086,83000,90000,173000,700,23340,300,23640,1,4,1.5051144,34029.875,7,0,,0,1,0,,1,60,,nord,,0,1,0,,
53552,5000,31000,36000,,16860,0,16860,2,1,1.7281687,21913.623,5,1,25,0,1,1,1,,,61,centro,0,,,,1,0
53596,100000,10000,110000,,27600,0,27600,3,1,1.328227,35406.652,7,2,19.5,2,1,0,,0,52,,centro,,0,,,,
53871,100100,2975.9932,103075.99,3000,20400,0,20400,2,4,.43371806,29610.908,7,0,,0,0,,1,0,64,64,nord,0,0,,,1,0
55425,21500,3047.7664,24547.766,,7240,0,7240,1,4,.70216137,5011.1709,1,0,,0,1,0,,1,47,,sud,,1,1,0,,
55636,760000,9691.3301,769691.31,4000,46600,0,46600,4,1,2.672225,65435.52,10,1,20,1,0,,1,1,61,58,sud,1,0,1,0,1,0
55774,251000,0,251000,,28150,0,28150,3,2,2.9862268,30650,7,2,38.5,2,1,1,0,,,63,sud,0,,,,,
56582,420000,18000,438000,,27600,18700,46300,3,3,.82402039,45115.977,9,1,25,0,0,,1,0,60,53,centro,0,0,,,0,1
56603,253000,0,226500,3000,24000,0,24000,2,4,1.4625498,42000,8,0,,0,0,,1,1,52,48,centro,0,0,0,1,1,0
56658,305000,62488.824,367488.81,3500,42000,4000,46000,2,2,.31004453,56534.707,10,0,,0,1,0,,1,52,,centro,,0,0,1,,
56721,257500,72100,329600,,32000,0,32000,3,3,.62431175,40698.559,8,0,,0,0,,1,0,61,57,centro,0,0,,,1,0
56761,512000,7000,519000,800,24000,25000,49000,6,4,1.6563669,64825.656,10,2,12,2,0,,1,1,47,46,centro,1,0,1,0,1,0
57027,226000,3397.8269,229397.83,5000,17600,0,17600,4,4,.74940145,22612.453,5,2,22.5,0,0,,1,0,52,52,sud,0,0,,,1,0
57546,160000,22000,182000,,33100,0,33100,2,4,.30831549,27880.637,6,0,,0,0,,1,1,55,53,centro,0,0,1,0,0,1
57621,305000,14454.842,319454.84,,43100,0,43100,2,1,.34710324,57352.98,10,0,,0,0,,1,0,66,57,centro,0,0,,,1,0
57670,260000,3392.0247,263392.03,,10300,0,10300,1,5,.53660899,21712.434,5,0,,0,1,1,1,,,63,sud,0,,,,1,0
57962,290000,31111.957,321111.97,4800,20150,0,20150,2,5,.32453173,21563.781,5,0,,0,0,,1,0,60,57,nord,1,0,,,1,0
91071,150000,31775.787,181315.78,3000,30000,0,30000,4,1,3.508136,46112.453,9,2,15.5,2,0,,1,1,47,46,nord,0,0,0,1,1,0
91074,200500,29039.711,229539.7,,22200,0,22200,3,4,1.1750324,23306.439,5,2,16.5,1,1,1,1,,,43,nord,0,,,,1,0
91079,50500,34500,83000,,19800,0,19800,3,1,.37614512,33674.879,7,1,18,1,0,,1,1,52,53,centro,0,0,1,0,1,0
91081,369000,5000,329000,,28700,4500,33200,3,4,.40536961,40361.996,8,1,17,1,0,,1,1,51,47,centro,1,0,1,0,1,0
91095,825000,60500,885500,3500,31600,15000,46600,3,4,1.9819065,53309.742,9,1,13,0,0,,0,1,56,53,centro,0,0,1,0,,
145007,371000,4000,374500,3240,36000,0,36000,4,4,1.0642273,37014.66,8,2,26,2,0,,0,1,62,60,sud,1,1,1,0,,
243067,367500,147000,501500,2200,42000,0,42000,3,3,.44650102,68605.328,10,1,22,0,0,,1,1,54,54,nord,0,0,1,0,0,0
244058,83000,2000,85000,1000,15600,0,15600,3,1,.82699651,18607.33,4,1,18,0,0,,0,1,52,52,sud,0,0,0,1,,
389084,2000,270,2270,,14100,1000,15100,2,4,.31065336,16500.99,3,0,,0,0,,0,1,60,61,centro,0,0,1,0,,
