00186 ROME ITALY
ANDREA DORIA 55 00192 ROME ITALY
BGO PIO 137 00193 ROME ITALY
BGO PIO 181/A 00193 ROME ITALY
BGO PIO 190 00193 ROME ITALY
BGO PIO 31 00193 ROME ITALY
BGO PIO 50 00193 ROME ITALY
BGO S.ANGELO 5 00193 ROME ITALY
BGO SANT ANGELO 13/15/19 00193 ROME ITALY
BGO VITTORIO 112 00193 ROME ITALY
BORGHETTO DEI PESCATORI 9 00122 ROME ITALY
BRUNO SEROTINI 89 00135 ROME ITALY
C.NE CASILINA 104 00176 ROME ITALY
CARLO POMA 2 00195 ROME ITALY
CASAL BOCCONE 256 00137 ROME ITALY
CASELLA POSTALE 19080 SNC 00173 ROME ITALY
CESARE BAZZANI 76 00128 ROME ITALY
CIRCUMVALLAZIONE TRIONFALE 123 00195 ROME ITALY
CLIVO DELLA MONTAGNOLA 10 00142 ROME ITALY
CLIVO DELLE CASE BASSE 137 00126 ROME ITALY
CLIVO DELLE CASE BASSE 24 00126 ROME ITALY
CLIVO DI MONTE DEL GALLO 54 00165 ROME ITALY
CRV APPIA 21-23 00179 ROME ITALY
CRV APPIA 54-56-58 00179 ROME ITALY
CRV APPIA 77-77A/B 00179 ROME ITALY
CRV CASILINA 15 00176 ROME ITALY
CRV CLODIA 127 00195 ROME ITALY
CRV CLODIA 145 00195 ROME ITALY
CRV CLODIA 145 A 00195 ROME ITALY
CRV CLODIA 153 00195 ROME ITALY
CRV CLODIA 161/D 00195 ROME ITALY
CRV CLODIA 162/171 00195 ROME ITALY
CRV CLODIA 163-165 00195 ROME ITALY
CRV CLODIA 163-167 00195 ROME ITALY
CRV CLODIA 163/0167 00195 ROME ITALY
CRV CLODIA 163/165 00195 ROME ITALY
CRV CLODIA 163/167 00173 ROME ITALY
CRV CLODIA 163/167 00195 ROME ITALY
CRV CLODIA 163/171 00191 ROME ITALY
CRV CLODIA 169-171 00195 ROME ITALY
CRV CLODIA 169/171 00195 ROME ITALY
CRV CLODIA 172 00195 ROME ITALY
CRV CLODIA 226 00195 ROME ITALY
CRV CLODIA 3 00195 ROME ITALY
CRV CLODIA 3/C 00195 ROME ITALY
CRV CLODIA 32 00195 ROME ITALY
CRV CLODIA 36B 00195 ROME ITALY
CRV CLODIA 64-66-68 00195 ROME ITALY
CRV CLODIA 82 00195 ROME ITALY
CRV CLODIA 88 00195 ROME ITALY
