"","tconst","name","nconst","category","deathYear","knownForTitles","oscar_no","oscar_yr","award","movie","birth_pl","birth_y","titleType","primaryTitle","startYear","genres"
"1","tt0000731","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Mrs. Jones Entertains","1909","Comedy,Short"
"2","tt0000738","Lionel Barrymore","nm0000859","actor","1954","tt0021885,tt0038650,tt0040506,tt0030993","4",1932,"Best actor","A Free Soul","Pennsylvania",1878,"short","The Paris Hat","1908","Short"
"3","tt0000800","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Awakening","1909","Comedy,Drama,Short"
"4","tt0000816","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Broken Locket","1909","Drama,Short"
"5","tt0000825","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Children's Friend","1909","Drama,Short"
"6","tt0000833","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Country Doctor","1909","Drama,Short"
"7","tt0000877","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","Getting Even","1909","Comedy,Short"
"8","tt0000878","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Gibson Goddess","1909","Comedy,Short"
"9","tt0000890","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","The Heart of an Outlaw","1909","Short,Western"
"10","tt0000898","Mary Pickford","nm0681933","actress","1979","tt0024539,tt0019788,tt0008188,tt0010267","2",1930,"Best actress","Coquette","Canada",1892,"short","His Lost Love","1909","Drama,Short"
