name,winner,primarytitle
Richard Barthelmess,False,The Noose
Emil Jannings,True,The Last Command
Louise Dresser,False,A Ship Comes In
Janet Gaynor,True,7th Heaven
Gloria Swanson,False,Sadie Thompson
George Bancroft,False,Thunderbolt
Warner Baxter,True,In Old Arizona
Chester Morris,False,Alibi
Paul Muni,False,The Valiant
Lewis Stone,False,The Patriot
Ruth Chatterton,False,Madame X
Betty Compson,False,The Barker
Jeanne Eagels,False,The Letter
Corinne Griffith,False,The Divine Lady
Bessie Love,False,The Broadway Melody
Mary Pickford,True,Coquette
George Arliss,True,Disraeli
George Arliss,False,The Green Goddess
Wallace Beery,False,The Big House
Maurice Chevalier,False,The Big Pond
Ronald Colman,False,Bulldog Drummond
Lawrence Tibbett,False,The Rogue Song
Nancy Carroll,False,The Devil's Holiday
Ruth Chatterton,False,Sarah and Son
Greta Garbo,False,Anna Christie
Norma Shearer,True,The Divorcee
Norma Shearer,False,Their Own Desire
Gloria Swanson,False,The Trespasser
Lionel Barrymore,True,A Free Soul
Jackie Cooper,False,Skippy
Richard Dix,False,Cimarron
Fredric March,False,The Royal Family of Broadway
Adolphe Menjou,False,The Front Page
Marlene Dietrich,False,Morocco
Marie Dressler,True,Min and Bill
Irene Dunne,False,Cimarron
Ann Harding,False,Holiday
Norma Shearer,False,A Free Soul
Wallace Beery,True,The Champ
Alfred Lunt,False,The Guardsman
Fredric March,True,Dr. Jekyll and Mr. Hyde
Marie Dressler,False,Emma
Lynn Fontanne,False,The Guardsman
Helen Hayes,True,The Sin of Madelon Claudet
Leslie Howard,False,Berkeley Square
Charles Laughton,True,The Private Life of Henry VIII
Paul Muni,False,I Am a Fugitive from a Chain Gang
Katharine Hepburn,True,Morning Glory
May Robson,False,Lady for a Day
Diana Wynyard,False,Cavalcade
Clark Gable,True,It Happened One Night
Frank Morgan,False,The Affairs of Cellini
William Powell,False,The Thin Man
Claudette Colbert,True,It Happened One Night
Bette Davis,False,Of Human Bondage
Grace Moore,False,One Night of Love
Norma Shearer,False,The Barretts of Wimpole Street
Clark Gable,False,Mutiny on the Bounty
Charles Laughton,False,Mutiny on the Bounty
Victor McLaglen,True,The Informer
Paul Muni,False,Black Fury
Franchot Tone,False,Mutiny on the Bounty
Elisabeth Bergner,False,Escape Me Never
Claudette Colbert,False,Private Worlds
Bette Davis,True,Dangerous
Katharine Hepburn,False,Alice Adams
Miriam Hopkins,False,Becky Sharp
Merle Oberon,False,The Dark Angel
Gary Cooper,False,Mr. Deeds Goes to Town
Walter Huston,False,Dodsworth
Paul Muni,True,The Story of Louis Pasteur
William Powell,False,My Man Godfrey
Spencer Tracy,False,San Francisco
Irene Dunne,False,Theodora Goes Wild
Gladys George,False,Valiant Is the Word for Carrie
Carole Lombard,False,My Man Godfrey
Luise Rainer,True,The Great Ziegfeld
Norma Shearer,False,Romeo and Juliet
Charles Boyer,False,Conquest
Fredric March,False,A Star Is Born
Robert Montgomery,False,Night Must Fall
Paul Muni,False,The Life of Emile Zola
Spencer Tracy,True,Captains Courageous
Irene Dunne,False,The Awful Truth
Greta Garbo,False,Camille
